gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0,0,0,37,1,0,0,2,2,0,2,0,0,1,0,3,71.02719748691725,2618.953304363523,0
1,0,0,0,9,1,0,2,1,1,1,1,1,1,2,0,1,35.16654776542091,315.6136768332623,0
1,1,0,0,31,1,0,2,1,1,1,1,1,1,2,1,1,31.749034921333042,986.8496731130157,0
1,0,0,0,29,1,0,1,0,2,0,2,0,2,2,0,3,88.21840676716047,2564.754217741526,0
1,0,0,1,10,1,2,2,1,1,1,1,1,1,2,0,3,38.6744855013781,358.93648226496686,0
0,0,0,0,37,1,2,1,0,2,0,0,0,0,0,1,3,68.8177908174675,2550.292292341983,0
1,0,1,0,14,1,0,1,0,0,2,0,2,0,2,0,3,100.55761712386617,1411.265107353317,0
0,1,0,0,26,1,0,1,0,0,0,0,2,0,0,0,3,108.92879781476458,2842.2260255508754,1
1,0,0,0,2,1,0,1,2,0,0,2,0,2,2,1,2,73.57484389272733,141.8870476332477,0
0,0,0,0,18,1,2,1,0,2,0,2,0,2,1,1,0,87.78314357003079,1574.9130522078635,0
1,1,1,0,9,1,2,2,1,1,1,1,1,1,0,0,2,29.344745325782586,276.1278737987403,0
1,0,0,0,26,1,0,1,2,0,0,2,2,0,0,0,0,99.28495771595306,2565.7773335532875,0
1,0,1,1,8,1,0,2,1,1,1,1,1,1,1,1,0,37.6017649586734,317.10502258320116,0
1,1,1,0,11,0,1,2,1,1,1,1,1,1,1,1,3,21.20532432262492,258.8175121411524,0
1,0,0,0,20,1,0,0,2,0,0,0,0,0,2,1,2,58.67693437287364,1178.3132043045216,0
0,0,1,0,26,1,0,2,1,1,1,1,1,1,0,0,3,30.324890526391535,796.588138421946,0
0,1,0,0,18,1,0,1,2,2,2,0,0,2,0,1,0,100.91168433501403,1801.514500959259,1
0,0,1,1,17,1,0,1,2,0,0,0,0,2,2,0,0,80.13580955013869,1355.363164485382,0
1,0,0,0,15,1,2,0,0,0,2,0,2,2,2,1,3,94.56247438181502,1429.0157411989464,1
0,0,0,1,24,1,0,2,1,1,1,1,1,1,2,1,1,30.203027038761732,728.4908024001039,0
0,0,0,1,6,1,2,1,2,0,2,0,0,0,0,1,2,107.2834737074964,641.8865676147107,1
1,0,1,0,7,1,0,1,0,2,0,2,0,0,1,1,0,75.78787472318935,532.8438143857209,0
1,0,1,0,26,1,2,1,0,0,0,2,0,0,1,0,0,64.92583799770244,1693.1415527834663,0
1,0,0,0,5,1,0,1,0,0,0,0,2,2,2,1,0,93.65971017121673,465.3675938452133,1
1,1,0,0,23,1,0,1,0,0,2,2,0,0,0,0,2,70.47196354942457,1620.5657021869977,1
1,1,0,0,35,1,2,0,0,0,0,0,0,2,2,0,2,93.97296623296408,3288.690744405754,0
0,0,0,1,29,1,2,0,2,2,0,2,2,0,1,0,1,80.54115090379086,2325.170586395826,0
1,1,0,0,31,1,0,2,1,1,1,1,1,1,2,1,1,31.75653428242901,987.6885090348902,0
1,1,1,1,2,1,0,0,2,2,2,0,0,0,0,1,2,62.06894325641328,142.17374565895744,1
1,0,0,0,14,0,1,0,0,0,0,2,2,0,0,1,0,64.74138375262763,923.6989938386488,1
