gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0,1,0,40,1,0,0,0,2,0,0,2,0,0,1,3,84.04,3363.85,0
1,0,0,1,47,1,0,0,0,0,2,0,2,0,0,1,2,81.89,3849.85,1
1,1,0,0,42,1,0,1,0,0,2,2,0,0,0,0,2,54.44,2304.27,1
0,0,0,0,5,1,0,1,0,2,0,0,2,0,1,1,1,73.67,377.89,1
1,0,1,0,19,1,2,1,2,0,0,0,0,0,2,1,0,55.33,1067.45,0
0,0,0,0,21,1,2,1,2,2,0,0,2,2,2,0,3,89.52,1893.43,1
0,0,1,1,17,1,0,2,1,1,1,1,1,1,0,0,3,29.92,540.02,1
0,0,1,1,70,1,0,1,2,2,0,0,0,0,0,0,2,62.36,4360.52,1
1,0,1,0,43,1,0,1,0,0,0,2,0,0,0,1,3,60.22,2593.97,1
0,0,1,0,25,1,0,1,0,0,2,0,0,0,2,1,0,49.12,1225.94,0
0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,1,1,66.73,682.13,1
0,1,1,0,46,1,0,1,0,2,0,2,0,2,0,1,2,82.88,3789.27,1
0,0,0,0,25,1,0,0,0,0,0,2,0,2,0,1,2,89.52,2256.97,1
1,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,3,89.02,0.0,1
0,0,0,1,59,1,0,1,0,0,0,0,0,2,2,0,2,58.49,3481.04,0
0,0,0,1,54,1,0,0,0,0,0,0,0,0,1,0,2,77.44,4184.62,0
1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,62.83,0.0,1
1,0,1,1,57,1,0,1,0,0,0,0,0,0,0,1,0,59.23,3383.05,1
1,0,0,0,29,1,0,2,1,1,1,1,1,1,0,0,3,28.13,818.22,1
1,0,1,1,1,1,2,1,0,0,0,0,0,2,1,0,1,80.37,69.48,0
0,0,1,0,48,1,2,0,2,2,2,0,0,0,0,1,1,56.23,2692.05,1
1,0,0,1,7,1,2,0,0,0,0,0,2,0,0,0,2,84.29,599.39,1
0,0,0,0,46,1,0,0,0,0,0,0,2,2,0,0,3,69.91,3207.0,1
0,0,1,1,35,1,0,0,0,0,0,0,0,0,0,0,2,71.74,2525.19,0
1,0,0,1,14,1,0,1,2,2,2,0,2,0,2,1,3,91.85,1288.26,0
0,0,0,0,36,1,0,2,1,1,1,1,1,1,0,0,3,27.28,965.34,0
1,0,0,0,65,1,2,0,2,0,2,0,0,0,0,1,2,61.51,3991.19,1
1,1,1,0,59,1,2,0,0,0,0,0,0,2,0,1,0,79.21,4666.62,0
0,1,1,1,61,1,0,1,2,2,0,0,2,0,2,0,0,70.73,4293.24,0
0,0,0,1,55,1,2,0,0,0,0,0,0,2,2,1,0,85.85,4723.34,0
1,0,0,0,51,1,2,1,2,0,2,0,0,2,2,0,1,70.21,3594.44,0
1,0,0,0,6,1,2,1,0,2,0,0,0,2,0,1,0,66.99,409.44,1
1,0,1,0,68,1,0,1,0,0,0,2,0,0,0,1,3,60.4,4089.59,1
0,0,0,0,41,1,2,2,1,1,1,1,1,1,2,0,3,27.02,1128.21,0
1,0,0,1,13,1,2,0,2,0,0,0,0,0,0,1,1,80.82,1039.59,1
1,1,0,0,15,1,2,2,1,1,1,1,1,1,0,1,1,29.02,415.03,0
0,1,1,0,70,1,2,1,0,0,2,2,2,0,2,0,0,84.2,5901.27,0
1,0,0,0,34,1,0,0,0,0,2,2,0,0,0,1,1,72.82,2488.07,0
0,0,0,0,41,1,2,0,0,2,0,0,0,0,1,0,3,52.86,2169.97,1
0,0,0,1,53,1,2,0,2,2,0,2,2,0,1,0,1,65.89,3498.89,0
1,1,0,0,25,1,2,2,1,1,1,1,1,1,2,1,2,27.83,694.87,0
0,0,0,0,41,0,1,0,2,2,0,2,0,0,1,0,2,70.16,2864.87,1
0,0,0,0,0,1,2,2,1,1,1,1,1,1,2,1,3,31.68,10.92,0
0,0,0,1,36,1,0,0,0,2,2,2,0,2,0,1,2,68.49,2466.93,1
1,0,0,0,64,1,0,0,0,0,0,0,0,2,2,1,3,64.52,4118.98,0
0,1,0,1,41,1,0,0,0,2,2,0,0,2,0,1,3,67.04,2751.34,0
1,0,1,1,45,1,0,1,0,0,0,0,0,2,0,1,1,70.16,3167.01,0
1,0,0,0,48,1,0,1,2,0,0,2,2,0,0,0,0,76.62,3691.63,0
0,0,0,0,7,1,0,1,2,0,2,0,2,0,0,1,2,75.65,533.17,1
0,1,0,0,67,1,2,0,0,0,0,2,2,0,0,1,1,65.4,4403.34,1
1,0,0,0,44,1,0,2,1,1,1,1,1,1,0,1,2,26.37,1173.43,0
1,0,1,0,29,1,2,1,0,2,0,0,2,0,0,0,1,67.46,1980.7,0
0,0,0,0,48,1,2,1,0,2,0,0,2,2,0,1,2,84.51,4047.54,1
0,0,1,0,30,1,0,1,0,2,0,2,2,2,1,1,3,71.95,2149.97,1
0,0,1,0,23,1,0,2,1,1,1,1,1,1,2,1,3,24.95,557.11,0
1,0,0,0,54,1,2,0,2,2,0,2,2,2,1,1,1,66.2,3621.31,0
1,0,1,0,7,1,0,1,2,0,0,0,2,0,2,1,2,77.98,542.28,0
0,1,1,0,27,1,0,0,0,2,2,0,2,2,0,0,0,76.35,2065.16,0
1,0,1,0,25,1,2,2,1,1,1,1,1,1,2,0,3,33.06,825.41,0
0,1,1,0,4,1,0,1,0,0,0,0,2,0,0,1,3,70.68,302.87,0
1,0,1,1,46,1,2,1,0,0,2,0,2,0,2,1,2,87.05,4025.26,0
1,0,0,0,39,1,2,1,0,0,2,2,2,0,1,0,1,84.13,3263.51,0
1,0,0,0,23,1,0,1,0,2,0,0,0,0,0,1,1,59.76,1390.41,1
0,0,1,0,70,1,0,1,0,2,2,0,0,0,0,1,0,60.71,4230.09,1
0,0,1,0,66,1,0,0,2,2,0,0,0,0,0,1,2,73.34,4857.49,0
1,0,1,0,14,0,1,2,1,1,1,1,1,1,0,0,2,18.25,285.63,0
0,0,1,0,8,1,0,0,0,0,0,2,0,2,0,1,2,94.31,774.95,1
1,1,0,1,62,1,0,1,2,0,0,0,2,2,2,1,3,79.03,4890.35,0
0,0,1,0,42,1,0,2,1,1,1,1,1,1,2,1,2,24.12,1008.54,0
1,0,1,0,11,1,2,0,2,0,0,0,0,2,2,1,0,86.04,966.51,0
1,0,1,1,50,1,0,0,0,2,0,0,0,0,0,0,2,81.42,4078.12,0
0,0,1,0,9,1,0,1,0,0,0,0,0,2,0,1,3,66.51,621.11,1
0,0,0,0,42,1,0,0,2,2,0,2,0,2,2,1,2,74.21,3128.48,0
1,0,1,1,15,1,0,2,1,1,1,1,1,1,1,1,0,30.38,459.15,0
0,1,0,0,35,1,2,1,0,0,2,0,0,0,1,0,1,79.53,2788.71,1
1,0,1,0,45,0,1,0,2,0,2,2,2,0,0,1,2,70.84,3188.8,0
1,1,1,0,38,1,2,1,0,0,0,0,2,2,0,1,2,100.3,3814.92,1
0,0,1,0,66,1,0,2,1,1,1,1,1,1,0,1,3,25.47,1672.78,0
1,0,1,0,7,1,2,1,0,0,2,2,2,0,0,1,2,67.81,448.08,1
0,0,0,0,29,0,1,1,0,2,0,0,0,0,2,0,2,64.72,1866.3,0
1,0,0,0,57,1,0,1,0,2,0,2,0,0,2,1,2,69.89,3996.19,0
0,0,0,0,21,1,0,1,0,0,0,0,2,0,0,0,2,88.41,1868.95,1
0,0,0,0,56,1,2,1,0,0,2,0,0,0,0,1,3,70.28,3944.65,0
0,1,0,1,55,1,0,1,2,0,2,0,2,0,0,1,2,75.63,4170.47,0
0,0,1,0,71,1,2,2,1,1,1,1,1,1,0,1,0,29.34,2076.9,0
0,0,0,0,61,1,2,1,0,0,2,0,0,0,0,0,2,76.28,4686.9,1
0,0,1,1,2,1,2,0,0,0,2,2,0,2,2,1,2,54.87,131.08,0
1,0,0,1,58,1,2,2,1,1,1,1,1,1,0,0,0,24.05,1393.12,0
0,0,0,1,19,1,0,2,1,1,1,1,1,1,0,1,3,27.08,510.04,0
0,1,0,1,31,1,2,1,0,0,0,0,0,0,0,1,2,55.6,1733.04,1
0,0,0,0,31,1,0,2,1,1,1,1,1,1,1,1,2,32.29,993.09,0
0,1,0,0,22,1,2,2,1,1,1,1,1,1,2,1,3,28.38,627.15,0
0,0,1,0,38,1,2,1,2,2,2,0,0,0,0,1,2,76.01,2880.11,1
0,0,1,0,14,1,0,1,0,0,2,2,0,0,1,1,3,58.59,826.43,0
1,0,1,0,42,1,0,2,1,1,1,1,1,1,0,0,1,28.76,1201.12,0
0,0,1,1,54,1,0,0,0,2,0,0,0,2,2,0,2,65.1,3506.19,0
1,0,0,0,5,1,0,1,2,0,0,2,0,2,2,1,2,59.04,314.36,0
0,0,0,1,50,1,2,1,2,2,2,0,2,2,1,1,2,76.14,3808.49,1
1,1,0,1,72,1,0,0,0,2,0,0,0,0,2,1,3,64.24,4632.95,0
0,0,1,1,42,1,2,1,0,0,2,0,0,0,2,1,2,52.97,2201.32,0
0,0,0,1,23,1,2,0,0,0,0,0,2,0,2,0,0,71.47,1667.26,0
1,0,0,0,39,1,2,0,0,2,2,0,0,2,1,1,0,84.95,3344.15,1
1,0,0,0,62,0,1,0,2,0,0,0,0,0,0,0,2,51.33,3172.48,0
0,0,1,1,48,1,2,0,0,0,0,0,0,0,0,1,1,75.05,3622.68,0
1,0,0,0,6,1,0,1,0,0,0,2,0,2,0,1,0,72.89,432.89,1
1,0,1,0,71,1,0,0,2,0,0,2,0,0,2,1,1,83.48,5921.52,0
0,0,0,0,68,1,2,1,0,2,0,0,0,0,0,1,3,55.74,3768.87,0
1,0,1,1,34,0,1,1,0,0,0,0,0,0,0,0,3,64.31,2199.89,1
1,0,0,0,63,1,2,1,0,0,2,2,0,2,0,1,3,81.85,5173.93,1
0,0,1,1,67,1,0,0,0,0,0,0,0,0,0,0,3,84.3,5662.44,1
1,0,1,0,20,0,1,0,0,2,2,2,0,2,0,0,2,75.29,1493.04,1
0,0,1,0,48,1,0,2,1,1,1,1,1,1,0,0,3,23.37,1112.48,0
0,0,1,0,63,1,0,0,0,2,0,0,2,0,2,1,2,79.52,4983.64,0
0,0,0,0,34,1,2,1,0,2,0,2,0,2,1,1,0,71.46,2431.52,0
0,1,1,0,51,1,2,2,1,1,1,1,1,1,2,1,0,23.8,1212.04,0
0,0,0,0,52,1,2,0,0,0,0,2,2,0,0,0,3,85.73,4428.25,0
0,0,1,0,5,1,2,1,0,0,2,0,0,0,2,1,3,63.61,329.36,0
1,0,0,0,55,0,1,0,0,0,2,0,2,0,0,0,0,57.95,3182.6,0
0,1,1,0,38,0,1,0,0,2,2,0,0,2,0,1,0,57.14,2180.06,0
0,0,0,1,16,0,1,1,0,0,0,0,0,2,0,1,2,52.79,853.49,1
0,0,0,1,65,1,0,1,0,2,2,2,2,0,1,1,3,54.56,3562.38,0
1,0,0,0,12,0,1,0,0,2,0,0,2,2,0,0,2,83.45,1023.65,1
0,1,1,0,52,1,2,1,0,0,0,0,0,0,2,0,1,57.19,2992.65,0
1,0,0,0,60,1,0,1,2,2,2,0,0,2,0,1,0,93.14,5561.06,1
1,0,1,1,52,1,2,0,0,2,0,0,2,2,0,1,2,81.05,4209.79,0
1,1,0,1,15,1,2,0,2,0,0,0,0,2,0,0,3,81.84,1230.31,0
1,0,0,1,56,1,0,0,0,2,0,0,0,2,2,0,2,71.07,3968.74,0
1,0,1,1,13,1,2,2,1,1,1,1,1,1,0,1,1,31.72,405.76,0
0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,3,47.99,34.25,1
1,0,0,1,35,1,2,2,1,1,1,1,1,1,0,1,2,32.79,1161.83,1
1,0,1,1,48,1,2,0,2,0,2,2,0,0,1,0,1,66.57,3183.72,0
0,0,1,0,47,1,2,0,0,0,0,2,2,2,0,1,1,93.27,4368.85,0
0,0,1,0,67,1,2,2,1,1,1,1,1,1,1,1,3,23.69,1589.63,0
0,0,1,1,10,1,0,0,0,0,0,0,0,2,0,1,2,70.83,707.87,1
0,0,0,1,26,1,0,1,0,2,2,2,2,2,0,0,2,72.55,1885.92,0
0,0,0,0,28,1,2,0,2,0,0,2,2,0,0,1,3,83.86,2350.73,1
0,0,0,1,16,1,2,0,2,0,0,0,0,0,2,1,0,73.84,1198.81,0
1,0,0,0,63,1,0,1,0,2,2,0,0,2,0,1,0,81.33,5114.09,0
0,1,0,0,64,1,2,1,0,0,0,0,2,0,0,1,1,67.35,4308.12,1
0,0,0,0,27,1,2,1,0,2,0,0,0,0,1,1,1,76.85,2063.9,1
1,0,0,0,56,1,0,1,0,2,0,0,2,2,2,1,2,88.26,4950.06,1
1,0,1,1,39,1,2,2,1,1,1,1,1,1,0,0,2,25.6,1003.32,1
1,0,0,1,12,1,0,2,1,1,1,1,1,1,0,1,3,28.45,349.24,1
1,0,0,1,37,1,0,0,2,0,0,0,2,0,2,1,3,86.65,3174.29,0
0,0,0,1,59,1,0,1,0,2,0,0,2,2,1,0,2,87.0,5127.99,1
1,0,0,0,62,1,0,1,0,0,0,0,0,0,2,1,1,64.96,4034.84,0
1,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,76.17,1909.67,1
0,0,1,0,23,1,2,0,0,0,0,2,2,0,1,0,1,86.8,1981.77,0
1,0,1,0,47,1,2,2,1,1,1,1,1,1,2,1,2,30.16,1420.14,0
0,0,0,0,21,1,2,1,0,0,0,0,0,0,0,1,0,55.07,1127.68,1
1,0,1,0,26,1,2,1,0,0,0,2,0,0,0,1,1,59.91,1554.43,0
0,0,1,0,55,1,2,0,0,0,2,0,2,0,0,1,2,90.29,4961.29,1
0,1,1,0,41,1,2,1,0,0,2,2,2,0,2,1,1,58.77,2414.52,0
0,0,1,0,51,0,1,1,0,2,2,2,2,0,0,1,0,55.34,2856.92,0
0,0,1,0,46,1,0,1,2,2,2,0,0,0,1,0,0,76.41,3511.51,0
1,0,1,0,43,1,0,1,2,2,2,0,2,0,0,0,3,87.69,3750.35,1
0,0,1,0,14,1,2,2,1,1,1,1,1,1,2,0,1,23.85,317.57,0
0,0,1,0,32,1,2,1,0,2,0,0,0,2,1,1,1,86.89,2781.3,0
1,0,1,0,2,1,2,0,0,0,2,0,2,2,0,1,3,74.21,161.25,1
1,0,0,1,58,1,0,1,0,0,0,2,0,0,0,1,2,60.8,3496.85,0
1,0,1,0,46,1,0,0,0,0,2,0,2,0,2,1,1,68.24,3147.84,0
1,0,1,0,19,0,1,2,1,1,1,1,1,1,0,0,3,18.25,350.07,0
0,0,0,1,45,0,1,2,1,1,1,1,1,1,2,1,1,18.25,819.83,0
0,1,0,1,20,1,0,1,0,0,0,0,0,0,0,0,3,63.83,1302.34,0
0,0,0,0,55,1,2,0,0,0,2,0,0,2,2,0,1,77.39,4239.56,0
